address	name	size
0x80060BEC	FUN_80060BEC	36
0x80060C10	FUN_80060C10	736
0x80060EF0	FUN_80060EF0	748
0x800611DC	FUN_800611DC	348
0x80061338	FUN_80061338	328
0x80061480	FUN_80061480	52
0x800614B4	FUN_800614B4	364
0x80061620	FUN_80061620	220
0x800616FC	FUN_800616FC	44
0x80061728	FUN_80061728	16
0x80061738	FUN_80061738	16
0x80061748	FUN_80061748	104
0x800617B0	FUN_800617B0	64
0x800617F0	FUN_800617F0	684
0x80061A9C	FUN_80061A9C	288
0x80061BBC	FUN_80061BBC	408
0x80061D54	FUN_80061D54	4480
0x80062ED4	FUN_80062ED4	60
0x80062F10	FUN_80062F10	304
0x80063040	FUN_80063040	100
0x800630A4	FUN_800630A4	340
0x800631F8	FUN_800631F8	444
0x800633B4	FUN_800633B4	624
0x80063624	FUN_80063624	48
0x80063654	FUN_80063654	80
0x800636A4	FUN_800636A4	96
0x80063704	FUN_80063704	304
0x80063834	FUN_80063834	48
0x80063864	FUN_80063864	48
0x80063894	FUN_80063894	48
0x800638C4	FUN_800638C4	280
0x800639DC	FUN_800639DC	12
0x800639E8	FUN_800639E8	12
0x800639F4	FUN_800639F4	32
0x80063A14	FUN_80063A14	32
0x80063A34	FUN_80063A34	32
0x80063A54	FUN_80063A54	516
0x80063C58	FUN_80063C58	28
0x80063C74	FUN_80063C74	48
0x80063CA4	FUN_80063CA4	656
0x80063F34	FUN_80063F34	416
0x800640D4	FUN_800640D4	416
0x80064274	FUN_80064274	960
0x80064634	FUN_80064634	48
0x80064664	FUN_80064664	144
0x800646F4	FUN_800646F4	40
0x8006471C	FUN_8006471C	40
0x80064744	FUN_80064744	40
0x8006476C	FUN_8006476C	16
0x8006477C	FUN_8006477C	16
0x8006478C	FUN_8006478C	32
0x800647AC	FUN_800647AC	16
0x800647BC	FUN_800647BC	108
0x80064828	FUN_80064828	160
0x800648C8	FUN_800648C8	32
0x800648E8	FUN_800648E8	32
